id,title,link,content,gold_label,content_length
0,اریان خان نے والد کی سب سے بڑی خوبی بتا دی انٹرویو وائرل,https://www.express.pk/story/2732283/arian-khan-n-oald-ki-sb-s-bi-khobi-bta-di-anroio-oaerl,بالی ووڈ سپر اسٹار شاہ رخ خان بڑے بیٹے اریان خان کا کہنا ان والد مارکیٹنگ معاملے میں بہت ذہین شاہ رخ خان بیٹی نے اداکاری جبکہ بیٹے نے کاروبار دنیا میں قدم دیا اریان خان نے حال میں انٹرویو دیا جس میں انہوں نے اپنے والد شمار صلاحیتوں بارے میں گفتگو اریان خان نے بتایا ان والد بزنس میں ان بہت رہنمائی وہ نہ صرف کاروباری صلاحیتوں بلکہ مارکیٹنگ بھی بےحد ذہین اریان خان نے بتایا ان بزنس میں والد انکی بہت مدد یہی وجہ وہ شاہ رخ ساتھ اپنے برانڈز مارکیٹگ شوٹس میں بھی موجود 26 سالہ اریان کا کہنا تھا والد ساتھ مل کر لگژری ملبوسات کا برانڈ لانچ کرنے کا ان کا فیصلہ بہترین تھا اریان نے انکشاف کیا وہ والد ساتھ اپنے برانڈ مارکیٹنگ ائیڈیاز بھی اس شیئر کیونکہ ان والد کا فیشن سینس مارکیٹنگ ائیڈیاز بہت بہترین اریان نے مزید بتایا ان والد زندگی دیگر معاملات میں بھی ان انکی بہن رہنمائی جب وہ کسی مسئلے میں الجھ جاتے وہ قدم پیچھے جانے کو تاکہ وہ زیادہ واضح مسائل کو سمجھ کر اس کا حل نکال سکیں ___aryan___ واضح اریان خان نے منشیات کیس سے بری ہونے بعد اریان نے لگژری ملبوسات کا بزنس گزشتہ برس شروع کیا تھا,entertainment,205
1,اداکارہ صحیفہ جبار نے تیزی سے اپنا وزن کیسے کم کیا,https://www.express.pk/story/2732277/adakara-sahifa-jabbar-ne-taizi-se-apna-wazan-kese-kam-kiya,پاکستان شوبز خوبرو اداکارہ ماڈل صحیفہ جبار خٹک نے اپنی فٹنس کا راز بتا دیا اداکارہ صحیفہ جبار حال میں اداکار میزبان فیصل قریشی پوڈکاسٹ میں شریک ہوئیں جہاں انہوں نے شوبز سمیت اپنی ذاتی زندگی بارے میں کھل کر گفتگو فیصل قریشی نے اداکارہ سے سوال کیا وہ فٹنس جم جاتی جس صحیفہ نے بتایا وہ عرصے سے جم نہیں جارہی اگر وہ جم جوائن بھی کرلیں انہیں دکھ ہوتا وہ فیس کر 2 دن بعد دوبارہ جم نہیں جاسکیں صحیفہ نے بتایا انکی فٹنس کا راز ڈپریشن کیونکہ وہ سالوں سے اپنے شوہر سے نہ ان شوہر کینیڈا سے پاکستان اسکتے نہ اداکارہ کینیڈا جاسکتی یہی وجہ وہ ڈپریشن میں رہتی انہوں نے تیزی سے وزن کم کیا اداکارہ نے ڈپریشن کو شوہر سے دوری وجہ قرار کہا وہ شوہر سے رہنے وجہ سے عرصے سے ڈپریشن میں مبتلا اداکارہ کا کہنا تھا اگر شوہر اچھا نہ ہونے میں غم نہیں مگر میرے شوہر بےحد ان بغیر رہنا میرے بہت مشکل فیصل قریشی نے بھی صحیفہ جبار بات سے اتفاق بتایا وہ انکے شوہر سے مل وہ واقعی بہت انسان یاد اداکارہ صحیفہ جبار خٹک اپنے سوشل میڈیا اکاؤنٹس بھی شوہر ساتھ بنائی تصاویر ویڈیوز شیئر ان سے اپنی محبت کا اظہار نظر اتی صحیفہ جبار ڈرامہ کیا بھول رفتہ رفتہ بیٹی میں اداکاری جوہر دکھا جبکہ ان کا ڈرامہ بیٹی ان شہرت وجہ بنا کافی مقبول رہا,entertainment,230
2,کرائم پٹرول کے نوجوان اداکار کی اچانک موت بھارتی انڈسٹری میں سوگ کی فضا,https://www.express.pk/story/2732263/crime-petrol-k-adakar-ki-achanak-mout-bharti-industry-mein-sog-ki-fiza,بھارت ٹیلی ویژن اداکار نیتن چوہان گھر سے لاش برامد بھارتی میڈیا رپورٹ مطابق 35 سالہ اداکار نیتن چوہان رئیلیٹی شو داداگیری دوسرے سیزن فاتح ایم ٹی وی اسپلٹز ولا کرائم پیٹرول میں اداکاری لیے مشہور رپورٹ میں بتایا گیا اداکار ممبئی میں اپنے فلیٹ میں مردہ حالت میں پائے تاہم ان موت وجہ جاننے تفتیش جارہی ابتدائی معلومات مطابق ممبئی پولیس نے اس واقعے کو خودکشی کا کیس قرار دیا بتایا گیا اداکار ڈپریشن کا علاج کروا نیتن بیوی نے پولیس کو اپنے بیان میں بتایا انہیں گزشتہ تین سے چار سال سے کام نہیں مل رہا تھا جسکی وجہ سے وہ شدید ذہنی دباؤ کا شکار نیتن چوہان موت خبر سن کر ان دوستوں ساتھیوں نے سوشل میڈیا افسوس تعزیت کا اظہار کیا ویبھوٹی ٹھاکر نے انسٹاگرام بلیک اینڈ وائٹ تصویر ساتھ لکھا میرے عزیز سکون میں رہو میں واقعی حیرت زدہ غمگین کاش تم میں تمام مشکلات کا سامنا کرنے طاقت کاش تم اپنے جسم طرح ذہنی مضبوط ہوتےٹی وی اداکار سدھیپ سہیر نے بھی انسٹاگرام اسٹوری نیتن تصویر شیئر لکھا سکون میں رہو دوست ویبھوٹی سدھیپ نے نیتن ساتھ تیرا یار میں کام کیا تھا نتن کو اخری مرتبہ اس ڈرامے میں 2022 میں دیکھا گیا تھا جس بعد وہ اسکرین سے اوجھل یاد نیتن کا تعلق اتر پردیش علی گڑھ سے تھا انہیں ٹی وی انڈسٹری میں بریک تھرو 2009 میں رئیلیٹی شو داداگیری 2 میں کامیابی حاصل کر ملا نیتن نے ایم ٹی وی اسپلٹز ولا پانچویں سیزن سمیت زندگی ڈاٹ کام کرائم پیٹرول جیسے دیگر شوز میں بھی کام کر شہرت کمائی اداکار انسٹاگرام اکاؤنٹ سے پتہ چلتا وہ فٹنس شوقین,entertainment,268
3,دیپیکا کی بیٹی کے ہمراہ پہلی جھلک سوشل میڈیا پر وائرل,https://www.express.pk/story/2732253/deepika-ki-beti-k-hamra-pehli-jhalak-social-media-pr-viral,ممبئی بالی وڈ مشہور جوڑی دیپیکا پڈوکون رنویر سنگھ کو بار اپنی نومولود بیٹی دعا پاڈوکون سنگھ ساتھ عوام سامنے دیکھا گیا جس ویڈیوز تصاویر سوشل میڈیا وائرل ایئرپورٹ دیپیکا اپنی بیٹی کو پیار سے گود میں اٹھائے نظر آئیں جبکہ رنویر بھی ان ساتھ موجود کار میں تصویروں میں دیپیکا کو سفید بیج رنگ لباس میں بیٹی کو محبت سے سینے سے لگائے دیکھا گیا جبکہ رنویر گلابی رنگ ہوڈی میں نظر سیکورٹی چیک دوران بھی جوڑی اپنے بچے ساتھ محبت بھرے انداز میں کھڑی نظر جس نے مداحوں دل جیت لیے مداحوں کو اداکارہ کو انکی بیٹی ساتھ دیکھنے کا بےصبری سے انتظار تھا ان جانب سے وائرل ویڈیوز تصاویر دلچسپ ردعمل سامنے ارہا سوشل میڈیا مداح اپنی پسندیدہ اداکار ان بیٹی سے محبت نیک تمناؤں کا اظہار کر واضح دیپیکا رنویر نے اپنی بیٹی کا نام دیوالی موقع بتایا انہوں نے تصویر کیپشن میں لکھا دعا پاڈوکون سنگھ دعاکیونکہ وہ ہماری دعاؤں کا جواب ہمارے دل محبت شکرگزاری سے بھرے اس سے قبل رنویر نے اپنی نئی فلم سنگھم اگین ٹریلر لانچ بھی بتایا ان بیٹی فلم میں اسکرین نظر انہوں نے مزاحیہ انداز میں کہا اس فلم میں لیڈی سنگھم بیبی سنگھم سمبا سب کیونکہ فلم شوٹنگ دوران دیپیکا پریگنینسی چل दपक पदकण خیال دیپیکا رنویر ملاقات 2013 میں سنجے لیلا بھنسالی فلم گولیوں راس لیلا رام لیلا دوران جس بعد انہوں نے کچھ سال دوسرے کو ڈیٹ کیا 2018 میں اٹلی میں شادی,entertainment,238
4,سدھارتھ ملہوترا ماروتی سوزوکی کی مقبول گاڑی ڈزائر کے برانڈ ایمبیسڈر مقرر,https://www.express.pk/story/2732223/sidharthmalhotra-marutisuzuki-ki-gadi-desire-ke-brand-ambassador-muqarar,ماروتی سوزوکی انڈیا لمیٹڈ نے اپنی مقبول گاڑی ڈزائر چوتھے جنریشن ماڈل لیے بالی ووڈ معروف اداکار سدھارتھ ملہوترا کو برانڈ ایمبیسڈر مقرر کر دیا اس موقع کمپنی نے سدھارتھ جھلک مشتمل نیا ٹی وی سی بھی جاری کیا جس میں اداکار کا دلکش سجیلا انداز مداحوں کو خوب بھایا ماروتی سوزوکی سینئر ایگزیکٹو افسر پارتھو بنرجی نے کہا ہندوستان میں تیزی سے بڑھتی نوجوان نسل جنہیں ہم تھرائیورز کو مدنظر نئی ڈزائر کو ڈیزائن کیا گیا جو ان کامیاب طرز زندگی عین مطابق ان مطابق سدھارتھ ملہوترا جیسے باصلاحیت کامیاب نوجوان کو برانڈ ایمبیسڈر بنانے کا فیصلہ اسی جذبے نمائندگی کرتا نئی ڈزائر میں جدید ڈیزائن انوکھے فیچرز بہترین ویلیو شامل جس سے ماروتی سوزوکی اپنے صارفین کو شاندار تجربہ فراہم کرنے کا عزم دوسری اداکار سدھارتھ ملہوترا فلمی مصروفیات بھی جاری رپورٹس مطابق وہ سارا علی خان سیف علی خان ساتھ آنے والی فلموں میں بھی نظر آئیں,entertainment,150
5,کرن جوہر کی رومانس کی دنیا میں واپسی چاند میرا دل کے نام سے نئی فلم کا اعلان,https://www.express.pk/story/2732220/karanjohar-ki-ramance-ki-dunya-me-wapsi-chandmeradil-ke-nam-se-film-ka-elan,مشہور فلم ساز کرن جوہر دھرما پروڈکشنز نے نئے رومانوی کہانی کا اعلان کر دیا جس میں اننیا پانڈے لکشیہ مرکزی کردار ادا فلم کا نام چاند میرا دل پوسٹرز میں موجود جوڑی منفرد کیمسٹری پرکشش انداز کو دیکھتے دلکش معاصر رومانوی کہانی پیشکش دھرما پروڈکشنز سوشل میڈیا اکاؤنٹس شیئر پوسٹرز میں دکھایا گیا اننیا سادہ روایتی انداز میں نظر آئیں جو ان پچھلے کرداروں سے کافی مختلف لکشیہ جنہوں نے پچھلی فلم میں اپنی ایکشن پیکڈ اداکاری سے شائقین کو متاثر کیا تھا اس بار رومانس دنیا میں اپنے فن کو منوائیں فلم ڈائریکٹر ویویک سونی فلم کا ٹیگ لائن پیار پاگل ہونا پڑتا نے شائقین میں تجسس بڑھا دیا فلم 2025 میں ریلیز جائے شائقین اننیا لکشیہ اس منفرد جوڑی کو دیکھنے لیے بےچین,entertainment,126
6,جمی شیرگل تمنا بھاٹیہ اور اویناش تیواری کی تھرلر فلم سکندر کا مقدر کب ریلیز ہوگی,https://www.express.pk/story/2732217/jimmyshergill-tamannahbhatia-avinash-ki-thriller-film-sikandarkamuqadar-kb-release-hogi,نیٹ فلکس بہت انتظار جانے والی کرائم ڈرامہ فلم سکندر کا مقدر 29 نومبر کو ریلیز لیے تیار اس فلم میں جمی شیرگل اویناش تیواری تمنا بھاٹیہ راجیو مہتا اہم کرداروں میں نظر آئیں اس فلم ہدایتکاری معروف فلمساز نیراج پانڈے نے جن منفرد کہانی سنانے کا انداز نیٹ فلکس ناظرین لیے شاندار تجربہ بننے والا سکندر کا مقدر کہانی ڈکیتی پولیس افسر 15 سالہ تفتیش پیچیدہ تعاقب گھومتی نیراج پانڈے جو اس سے قبل نیٹ فلکس سیریز کھاکی بہار چیپٹر میں کام کر اس بار زبردست کرائم اسٹوری ساتھ دوبارہ سامنے,entertainment,92
7,طلاق کی افواہوں کے درمیان ایشوریا اور ابھیشیک نئی فلم میں ایک ساتھ نظر آئیں گے,https://www.express.pk/story/2732203/talaq-ki-news-aishwary-or-abhishek-nayi-film-me-sath-nazar-aayen-gay,بالی وڈ معروف جوڑی ایشوریا رائے ابھیشیک بچن طلاق افواہوں زد میں لیکن حالیہ اطلاعات مطابق جوڑی بار فلمی پردے نظر آنے والی بھارتی میڈیا رپورٹس مطابق مشہور فلم ساز منی رتنم اپنی نئی ہندی فلم میں اس جوڑی کو کاسٹ کرنے جا منی رتنم نے اس سے قبل 2007 فلم گرو میں ایشوریا ابھیشیک کو ساتھ کاسٹ کیا تھا جس سیٹ سے ان لوو اسٹوری کا آغاز تھا بعد میں انہوں نے فلم راون میں بھی اس جوڑی کو اکٹھا پیش کیا اب اطلاعات منی رتنم دلچسپ کہانی کام کر جس میں جوڑی سے جلوہ گر ہوگی واضح حالیہ افواہوں مطابق ابھیشیک بچن اداکارہ نمرت کور درمیان تعلقات خبریں بھی زیر گردش جبکہ ایشوریا ابھیشیک درمیان علیحدگی افواہیں نمرت کور نے ابھیشیک ساتھ رومانوی تعلقات تردید کہا وہ ابھیشیک صرف دوست دونوں اداکاروں جانب سے ان خبروں بیان سامنے نہیں آیا,entertainment,142
8,دھمکیوں کے بعد سلمان خان کے شوٹنگ سیٹ پر 70 سے زائد سیکیورٹی اہلکار تعینات,https://www.express.pk/story/2732200/salmankhan-ke-shooting-set-par-70-se-zayed-securitypersonal-mojod,بالی ووڈ سپر اسٹار سلمان خان نے اپنی آنے والی ایکشن ڈرامہ فلم سکندر شوٹنگ حیدرآباد میں دوبارہ شروع کر شوٹنگ ماہ جاری سلمان خان کو درپیش سیکیورٹی خدشات وجہ سے سیٹ انتہائی سخت حفاظتی اقدامات شوٹنگ محل نما ہوٹل میں جسے تقریبا قلعے طرح سیکیورٹی فراہم میڈیا رپورٹس مطابق سلمان خان سیکیورٹی لیے چار تہوں مشتمل حفاظتی اقدامات جن میں کمانڈوز پولیس اہلکار نجی سیکیورٹی گارڈز شامل حیدرآباد ممبئی پولیس تعاون سے سلمان خان آس پاس 50 سے 70 سیکیورٹی اہلکار وقت موجود ہوٹل میں داخلے بھی سطح جانچ جاتی تمام عملے روزانہ جانچ پڑتال اس شیڈول دوران سلمان خان ان ساتھی اداکارہ راشمیکا مندانا خصوصی گانوں فلمبندی بھی شامل ان گانوں کو بڑے پیمانے فلمایا جا رہا ان میں سلمان راشمیکا کیمسٹری کو اجاگر کیا جائے گا سخت حفاظتی انتظامات سلمان خان کو موصول ہونے والی دھمکیوں باعث جو کالے ہرن شکار کیس سے جڑی اس دھمکی بعد حکومت نے سلمان خان کو Yکیٹیگری سیکیورٹی فراہم تاکہ ان حفاظت یقینی بنائی جا سکے,entertainment,165
9,چندو چیمپئن اور بھول بھلیاں 3 کے ساتھ کارتک آریان نے باکس آفس پر نیا ریکارڈ قائم کر دیا,https://www.express.pk/story/2732194/chanduchampion-bhoolbhulyaan3-ke-sath-kartikaryan-ne-new-record-bana-dia,بالی ووڈ معروف اداکار کارتک آریان لیے سال 2024 سب سے کامیاب سال ثابت جس میں ان بڑی فلموں چندو چیمپئن بھول بھلیاں 3 نے باکس آفس مجموعی 200 کروڑ روپے سے زیادہ کا بزنس کیا کارتک نے 2022 میں اس سنگ میل قریب پہنچ کر خواب ادھورا چھوڑ دیا تھا لیکن اس سال کامیابی نے انہیں بالآخر اس کلب کا حصہ بنا دیا چندو چیمپئن نے باکس آفس 6295 کروڑ روپے کمائے جس میں کارتک اداکاری کو خاص سراہا گیا اس بعد نومبر میں ریلیز ہونے والی بھول بھلیاں 3 نے اپنے پہلے ہفتے میں 14391 کروڑ روپے کما کر سنگ میل عبور کیا فلم کارتک مقبولیت کو مزید بڑھانے میں کامیاب اب بھی سینما گھروں میں جاری کارتک سال 2024 مجموعی کمائی 20686 کروڑ پہنچ فلم کامیابی پیش نظر امید جا وہ اس سال 300 کروڑ ہدف بھی پہنچ سکتے,entertainment,142
